category,file,original_size_bytes,original_size_kb,compressed_size_bytes,restored_size_bytes,compression_ratio,compress_mean_sec,compress_std_sec,compress_std_percent,decompress_mean_sec,decompress_std_sec,decompress_std_percent,runs,correct
text,war_and_peace_1000kb.txt,1024000,1000.0,536258,1024000,0.523689,0.293634,0.002718,0.93,0.081662,0.001947,2.38,30,True
text,war_and_peace_100kb.txt,102400,100.0,51943,102400,0.507256,0.030718,0.000321,1.05,0.009361,0.000393,4.2,30,True
text,war_and_peace_250kb.txt,256000,250.0,133628,256000,0.521984,0.075911,0.000483,0.64,0.021482,0.0004,1.86,30,True
text,war_and_peace_2800kb.txt,2811213,2745.3,1447504,2811213,0.514904,0.794233,0.006853,0.86,0.215888,0.003873,1.79,30,True
text,war_and_peace_500kb.txt,512000,500.0,272119,512000,0.531482,0.150316,0.001674,1.11,0.044177,0.009637,21.82,30,True
text,war_and_peace_50kb.txt,51200,50.0,25486,51200,0.497773,0.016604,0.00019,1.15,0.005236,0.000295,5.64,30,True
code,code_1000kb.txt,1024000,1000.0,650974,1024000,0.635717,0.303047,0.00246,0.81,0.091996,0.002232,2.43,30,True
code,code_100kb.txt,102400,100.0,55228,102400,0.539336,0.030491,0.000314,1.03,0.009138,0.00029,3.17,30,True
code,code_250kb.txt,256000,250.0,157269,256000,0.614332,0.075966,0.000588,0.77,0.02339,0.000937,4.01,30,True
code,code_500kb.txt,512000,500.0,312424,512000,0.610203,0.151391,0.00761,5.03,0.045057,0.001073,2.38,30,True
code,code_50kb.txt,51200,50.0,26859,51200,0.52459,0.015769,0.000107,0.68,0.005213,0.000235,4.51,30,True
compressed,image_1000kb.jpg,1024000,1000.0,979007,1024000,0.956062,0.399391,0.002808,0.7,0.17097,0.002504,1.46,30,True
compressed,image_100kb.jpg,102400,100.0,98515,102400,0.962061,0.042021,0.000274,0.65,0.018615,0.000422,2.27,30,True
compressed,image_2500kb.jpg,2560000,2500.0,2464818,2560000,0.96282,1.005225,0.007983,0.79,0.432342,0.007853,1.82,30,True
compressed,image_250kb.jpg,256000,250.0,244210,256000,0.953945,0.101663,0.000814,0.8,0.04393,0.000939,2.14,30,True
compressed,image_5000kb.jpg,4799714,4687.2,4621526,4799714,0.962875,1.928529,0.190769,9.89,0.801711,0.011264,1.4,30,True
compressed,image_500kb.jpg,512000,500.0,488021,512000,0.953166,0.201087,0.001765,0.88,0.085698,0.001133,1.32,30,True
compressed,image_50kb.jpg,51200,50.0,49928,51200,0.975156,0.022137,0.000306,1.38,0.010366,0.000316,3.05,30,True
